"Id","Name","Direction"
"158","s_async_cfg_check","client_to_server"
"159","s_training_enter","client_to_server"
"160","s_top_level_info","client_to_server"
"161","c_achieve_overview","server_to_client"
"162","c_usj_update_score","server_to_client"
"163","c_night_fight_floor_reward","server_to_client"
"164","c_offlinepvp_pro_reward","server_to_client"
"165","s_act_eye_sight_report","client_to_server"
"166","s_ping_fight_list","client_to_server"
"167","s_battlefield_pk_quit","client_to_server"
"168","s_battlefield_solo_reward","client_to_server"
"169","s_puzzle_reward","client_to_server"
"170","s_admission_manual_sync_info","client_to_server"
"171","c_interaction_data","server_to_client"
"172","c_league_icon","server_to_client"
"173","s_peak_battle_honor_info","client_to_server"
"174","s_office_pick_weekly","client_to_server"
"175","c_team_offline","server_to_client"
"176","c_battlefield_solo_update","server_to_client"
"177","s_userinfo_info","client_to_server"
"178","c_base_station_activate","server_to_client"
"179","c_act_pickbox_update","server_to_client"
"180","s_peak_battle_primary_change_hero","client_to_server"
"181","c_peak_battle_primary_info","server_to_client"
"182","s_group_channel_load","client_to_server"
"183","c_admission_manual_sync_info","server_to_client"
"184","c_league_ad_panel","server_to_client"
"185","s_campaign_buy","client_to_server"
"186","s_pay_info","client_to_server"
"187","c_chat_public","server_to_client"
"188","s_league_board_comment_oper","client_to_server"
"189","s_group_open_map","client_to_server"
"190","c_league_change_name","server_to_client"
"191","s_act_empty_shop_stage_reenter","client_to_server"
"192","s_flipcard_total_reward","client_to_server"
"193","s_training_info","client_to_server"
"194","c_egg_task_add","server_to_client"
"195","s_relax_cond_get_reward","client_to_server"
"196","s_secret_apply_insert_key","client_to_server"
"197","c_week_sign_info","server_to_client"
"198","s_offlinepvp_note","client_to_server"
"199","s_sendprize_exchange","client_to_server"
"200","s_pressure_like_info","client_to_server"
"201","c_secret_area_history","server_to_client"
"202","c_peak_battle_honor_info","server_to_client"
"203","s_stage_achievement_finish","client_to_server"
"204","c_act_client_trigger_info","server_to_client"
"205","c_scene_player_create","server_to_client"
"206","c_area_event_fight_over","server_to_client"
"207","c_all_server_cond_get_info","server_to_client"
"208","c_user_update","server_to_client"
"209","s_group_team_create","client_to_server"
"210","s_gem_resolve","client_to_server"
"211","c_peak_battle_primary_seat_info","server_to_client"
"212","s_campaign_leave","client_to_server"
"213","s_act_boss_challenge_svr_point","client_to_server"
"214","s_resident_enter","client_to_server"
"215","s_campaign_control_update","client_to_server"
"216","c_time_ping","server_to_client"
"217","c_collect_info","server_to_client"
"218","s_peak_battle_primary_shop_count","client_to_server"
"219","c_growth_fund_info","server_to_client"
"220","c_business_extend_report","server_to_client"
"221","c_chaos_info","server_to_client"
"222","s_scene_shape_cachedata","client_to_server"
